n numpy scipy pyfftw dft_loop dft_para_loop dft_matr dft_inter dft_radix2 dft_radix2f
2048 6.341934204101562e-05 0.0001850128173828125 0.0006968975067138672 0 0 0.26015210151672363 0.13575196266174316 0.0688943862915039 0.06284523010253906
2049 0.00035572052001953125 0.0001811981201171875 0.002576589584350586 0 0 0.3030848503112793 0 0 0
2050 9.632110595703125e-05 9.036064147949219e-05 0.0024535655975341797 0 0 0.2878453731536865 0.1470351219177246 0 0
2051 0.00029921531677246094 0.00018072128295898438 0.002975940704345703 0 0 0.2735886573791504 0 0 0
2052 7.43865966796875e-05 7.653236389160156e-05 0.0026702880859375 0 0 0.27343130111694336 0.1383380889892578 0 0
2053 0.0002923011779785156 0.0001785755157470703 0.002828836441040039 0 0 0.2593717575073242 0 0 0
2054 0.00012564659118652344 0.0001270771026611328 0.0041370391845703125 0 0 0.2811119556427002 0.13937115669250488 0 0
2055 0.0001518726348876953 0.00014352798461914062 0.0017380714416503906 0 0 0.2830214500427246 0 0 0
2056 0.00023436546325683594 0.00017905235290527344 0.0056018829345703125 0 0 0.3113408088684082 0.1327371597290039 0 0
2057 0.00011467933654785156 7.748603820800781e-05 0.0017795562744140625 0 0 0.284437894821167 0 0 0
2058 9.012222290039062e-05 7.224082946777344e-05 0.0018775463104248047 0 0 0.3027763366699219 0.1443336009979248 0 0
2059 0.000133514404296875 0.00011682510375976562 0.0019915103912353516 0 0 0.2724611759185791 0 0 0
2060 0.0001049041748046875 0.0001232624053955078 0.0022575855255126953 0 0 0.2624180316925049 0.13066506385803223 0 0
2061 0.000339508056640625 0.00018358230590820312 0.003966331481933594 0 0 0.27335453033447266 0 0 0
2062 0.0003046989440917969 0.00019669532775878906 0.005494832992553711 0 0 0.29196929931640625 0.1430072784423828 0 0
2063 0.0003364086151123047 0.00018262863159179688 0.0027959346771240234 0 0 0.29853391647338867 0 0 0
2064 8.487701416015625e-05 9.226799011230469e-05 0.0012714862823486328 0 0 0.27492594718933105 0.1486189365386963 0 0
2065 0.00012540817260742188 9.965896606445312e-05 0.0012362003326416016 0 0 0.2790372371673584 0 0 0
2066 0.00026345252990722656 0.00019288063049316406 0.00554203987121582 0 0 0.28102540969848633 0.14453411102294922 0 0
2067 0.0001289844512939453 0.00011515617370605469 0.0048122406005859375 0 0 0.29624104499816895 0 0 0
2068 8.916854858398438e-05 9.775161743164062e-05 0.008611679077148438 0 0 0.2781796455383301 0.13998770713806152 0 0
2069 0.00030732154846191406 0.00018858909606933594 0.0029485225677490234 0 0 0.28920459747314453 0 0 0
2070 9.1552734375e-05 8.296966552734375e-05 0.0013117790222167969 0 0 0.2874026298522949 0.13351964950561523 0 0
2071 0.00014662742614746094 0.00013875961303710938 0.0036292076110839844 0 0 0.28951334953308105 0 0 0
2072 8.392333984375e-05 8.726119995117188e-05 0.011024713516235352 0 0 0.2761528491973877 0.14073967933654785 0 0
2073 0.00032138824462890625 0.00020432472229003906 0.0025501251220703125 0 0 0.28421473503112793 0 0 0
2074 0.00010752677917480469 0.00011706352233886719 0.006319761276245117 0 0 0.25365185737609863 0.14707589149475098 0 0
2075 0.0001304149627685547 0.00011038780212402344 0.0022728443145751953 0 0 0.2968120574951172 0 0 0
2076 0.00024271011352539062 0.0001862049102783203 0.005660295486450195 0 0 0.32695984840393066 0.1488640308380127 0 0
2077 0.0001327991485595703 0.00011968612670898438 0.0020062923431396484 0 0 0.2677876949310303 0 0 0
2078 0.00024700164794921875 0.00019407272338867188 0.004514455795288086 0 0 0.2953507900238037 0.15198159217834473 0 0
2079 0.00010657310485839844 6.985664367675781e-05 0.0009379386901855469 0 0 0.2761971950531006 0 0 0
2080 7.534027099609375e-05 7.772445678710938e-05 0.0014705657958984375 0 0 0.2667224407196045 0.14845991134643555 0 0
2081 0.00024437904357910156 0.00019598007202148438 0.001966238021850586 0 0 0.274993896484375 0 0 0
2082 0.0002639293670654297 0.0001857280731201172 0.004946470260620117 0 0 0.29196882247924805 0.16107606887817383 0 0
2083 0.0002772808074951172 0.0001838207244873047 0.003008604049682617 0 0 0.2705352306365967 0 0 0
2084 0.0002503395080566406 0.00018453598022460938 0.005560159683227539 0 0 0.3003678321838379 0.1427292823791504 0 0
2085 0.0001583099365234375 0.00015044212341308594 0.001580953598022461 0 0 0.304734468460083 0 0 0
2086 0.00022721290588378906 0.00017762184143066406 0.003171682357788086 0 0 0.31557297706604004 0.1599433422088623 0 0
2087 0.00029468536376953125 0.00017952919006347656 0.003038167953491211 0 0 0.3316676616668701 0 0 0
2088 7.987022399902344e-05 8.535385131835938e-05 0.0016965866088867188 0 0 0.2918715476989746 0.15010571479797363 0 0
2089 0.0002682209014892578 0.00017976760864257812 0.003247499465942383 0 0 0.29186558723449707 0 0 0
2090 9.465217590332031e-05 8.630752563476562e-05 0.0033843517303466797 0 0 0.2667202949523926 0.13868999481201172 0 0
2091 0.00012040138244628906 9.274482727050781e-05 0.005617618560791016 0 0 0.28259754180908203 0 0 0
2092 0.0002181529998779297 0.00018596649169921875 0.0067081451416015625 0 0 0.3050503730773926 0.13805699348449707 0 0
2093 0.00011801719665527344 8.440017700195312e-05 0.0018279552459716797 0 0 0.30648159980773926 0 0 0
2094 0.0002238750457763672 0.00018453598022460938 0.003625154495239258 0 0 0.2692544460296631 0.16833138465881348 0 0
2095 0.0002503395080566406 0.00017714500427246094 0.002959728240966797 0 0 0.31166791915893555 0 0 0
2096 0.0001227855682373047 0.00014925003051757812 0.001969575881958008 0 0 0.30236077308654785 0.14304542541503906 0 0
2097 0.00028896331787109375 0.0001761913299560547 0.0031206607818603516 0 0 0.271329402923584 0 0 0
2098 0.00021791458129882812 0.0001823902130126953 0.0038678646087646484 0 0 0.28380370140075684 0.15392088890075684 0 0
2099 0.0002753734588623047 0.00020265579223632812 0.0027163028717041016 0 0 0.27736973762512207 0 0 0
2100 7.414817810058594e-05 0.00012087821960449219 0.0011813640594482422 0 0 0.3118581771850586 0.13516950607299805 0 0
2101 0.0002422332763671875 0.00017762184143066406 0.0035004615783691406 0 0 0.2872133255004883 0 0 0
2102 0.00021457672119140625 0.00018739700317382812 0.004985809326171875 0 0 0.2982497215270996 0.15831255912780762 0 0
2103 0.0002665519714355469 0.00017642974853515625 0.0027158260345458984 0 0 0.2953810691833496 0 0 0
2104 0.0002307891845703125 0.00018453598022460938 0.010733604431152344 0 0 0.3163564205169678 0.15007495880126953 0 0
2105 0.00036025047302246094 0.00020051002502441406 0.0025451183319091797 0 0 0.2728564739227295 0 0 0
2106 8.893013000488281e-05 8.082389831542969e-05 0.0013349056243896484 0 0 0.2720298767089844 0.1504507064819336 0 0
2107 0.00011587142944335938 9.083747863769531e-05 0.0009875297546386719 0 0 0.27540016174316406 0 0 0
2108 8.296966552734375e-05 9.560585021972656e-05 0.008523225784301758 0 0 0.30686068534851074 0.14440250396728516 0 0
2109 0.0001246929168701172 9.608268737792969e-05 0.006078958511352539 0 0 0.28440141677856445 0 0 0
2110 0.00026345252990722656 0.0002167224884033203 0.004967927932739258 0 0 0.2707703113555908 0.14329004287719727 0 0
2111 0.00027251243591308594 0.00017976760864257812 0.002974987030029297 0 0 0.2770657539367676 0 0 0
2112 8.726119995117188e-05 0.00013756752014160156 0.0012745857238769531 0 0 0.2899484634399414 0.15004968643188477 0 0
2113 0.00032448768615722656 0.0002052783966064453 0.0024178028106689453 0 0 0.3074162006378174 0 0 0
2114 0.00015878677368164062 0.00016927719116210938 0.002218961715698242 0 0 0.3032348155975342 0.14849638938903809 0 0
2115 0.00011992454528808594 9.179115295410156e-05 0.0010673999786376953 0 0 0.309600830078125 0 0 0
2116 8.392333984375e-05 9.1552734375e-05 0.00696563720703125 0 0 0.284900426864624 0.14756464958190918 0 0
2117 0.000133514404296875 0.00011563301086425781 0.0032944679260253906 0 0 0.3077523708343506 0 0 0
2118 0.0003020763397216797 0.00021529197692871094 0.0034661293029785156 0 0 0.25283145904541016 0.15699434280395508 0 0
2119 0.00016927719116210938 0.00016999244689941406 0.0020432472229003906 0 0 0.3295419216156006 0 0 0
2120 9.72747802734375e-05 9.799003601074219e-05 0.00238037109375 0 0 0.33049607276916504 0.155137300491333 0 0
2121 0.00014543533325195312 0.00012826919555664062 0.0015027523040771484 0 0 0.342421293258667 0 0 0
2122 0.0002532005310058594 0.00021648406982421875 0.004693746566772461 0 0 0.3369724750518799 0.14956045150756836 0 0
2123 0.0003044605255126953 0.0001976490020751953 0.002876758575439453 0 0 0.3374307155609131 0 0 0
2124 9.179115295410156e-05 0.00010085105895996094 0.0014870166778564453 0 0 0.32966136932373047 0.15569782257080078 0 0
2125 0.00011920928955078125 7.748603820800781e-05 0.001142740249633789 0 0 0.2889540195465088 0 0 0
2126 0.0002472400665283203 0.00019884109497070312 0.004689931869506836 0 0 0.3140554428100586 0.15280604362487793 0 0
2127 0.00026869773864746094 0.00018644332885742188 0.0024023056030273438 0 0 0.2969491481781006 0 0 0
2128 7.915496826171875e-05 7.891654968261719e-05 0.0016498565673828125 0 0 0.3296852111816406 0.15968537330627441 0 0
2129 0.0002560615539550781 0.0001823902130126953 0.0026116371154785156 0 0 0.2923617362976074 0 0 0
2130 0.00015401840209960938 0.00011610984802246094 0.0022552013397216797 0 0 0.30971193313598633 0.1487739086151123 0 0
2131 0.00026798248291015625 0.0001900196075439453 0.0029976367950439453 0 0 0.33194446563720703 0 0 0
2132 8.654594421386719e-05 0.00014925003051757812 0.016683340072631836 0 0 0.3145561218261719 0.14825677871704102 0 0
2133 0.00013780593872070312 0.00011444091796875 0.0015368461608886719 0 0 0.3041243553161621 0 0 0
2134 0.00014400482177734375 0.000133514404296875 0.004575252532958984 0 0 0.33054351806640625 0.15468072891235352 0 0
2135 0.00012755393981933594 0.00010085105895996094 0.0017061233520507812 0 0 0.29735851287841797 0 0 0
2136 0.00010633468627929688 0.00011873245239257812 0.0019905567169189453 0 0 0.2991635799407959 0.1564016342163086 0 0
2137 0.0002994537353515625 0.0002162456512451172 0.0023491382598876953 0 0 0.33536791801452637 0 0 0
2138 0.0002498626708984375 0.00026154518127441406 0.004347562789916992 0 0 0.27364349365234375 0.14585113525390625 0 0
2139 0.00011968612670898438 9.441375732421875e-05 0.0030558109283447266 0 0 0.31641101837158203 0 0 0
2140 0.0001125335693359375 0.0001480579376220703 0.002122640609741211 0 0 0.32495570182800293 0.21316218376159668 0 0
2141 0.0002961158752441406 0.0002067089080810547 0.0022754669189453125 0 0 0.3209421634674072 0 0 0
2142 0.00018167495727539062 0.00013446807861328125 0.001279592514038086 0 0 0.31488537788391113 0.17252540588378906 0 0
2143 0.00027871131896972656 0.0002307891845703125 0.002089977264404297 0 0 0.31321144104003906 0 0 0
2144 9.608268737792969e-05 0.00010752677917480469 0.001428842544555664 0 0 0.3189845085144043 0.16393661499023438 0 0
2145 0.00011658668518066406 8.153915405273438e-05 0.0041904449462890625 0 0 0.3232698440551758 0 0 0
2146 0.00010561943054199219 0.00010347366333007812 0.00830078125 0 0 0.320767879486084 0.1558375358581543 0 0
2147 0.00015282630920410156 0.0001418590545654297 0.002603769302368164 0 0 0.2771012783050537 0 0 0
2148 0.0002582073211669922 0.0002048015594482422 0.002529144287109375 0 0 0.35269927978515625 0.13837027549743652 0 0
2149 0.0003383159637451172 0.00019502639770507812 0.0025408267974853516 0 0 0.31656718254089355 0 0 0
2150 0.00011968612670898438 9.5367431640625e-05 0.0013971328735351562 0 0 0.3323831558227539 0.1591038703918457 0 0
2151 0.00031566619873046875 0.00018644332885742188 0.003301858901977539 0 0 0.32889699935913086 0 0 0
2152 0.0002982616424560547 0.00019073486328125 0.008660316467285156 0 0 0.33342766761779785 0.16836118698120117 0 0
2153 0.00030159950256347656 0.00019550323486328125 0.0027844905853271484 0 0 0.3347358703613281 0 0 0
2154 0.0002446174621582031 0.0002033710479736328 0.004076719284057617 0 0 0.34595489501953125 0.15716934204101562 0 0
2155 0.0002837181091308594 0.00017905235290527344 0.002420663833618164 0 0 0.3113105297088623 0 0 0
2156 7.653236389160156e-05 7.462501525878906e-05 0.0015630722045898438 0 0 0.2845478057861328 0.15800881385803223 0 0
2157 0.0003018379211425781 0.000186920166015625 0.002548694610595703 0 0 0.3382575511932373 0 0 0
2158 0.00012040138244628906 0.0001246929168701172 0.004401683807373047 0 0 0.2987847328186035 0.1914989948272705 0 0
2159 0.000255584716796875 0.0001747608184814453 0.001363515853881836 0 0 0.29644203186035156 0 0 0
2160 7.200241088867188e-05 6.914138793945312e-05 0.0018739700317382812 0 0 0.29070091247558594 0.15474724769592285 0 0
2161 0.00029850006103515625 0.0002281665802001953 0.006273984909057617 0 0 0.34145164489746094 0 0 0
2162 0.000110626220703125 0.00011229515075683594 0.0032095909118652344 0 0 0.29987597465515137 0.16923189163208008 0 0
2163 0.00014638900756835938 0.0001277923583984375 0.0017063617706298828 0 0 0.30053067207336426 0 0 0
2164 0.0002598762512207031 0.0002090930938720703 0.009384632110595703 0 0 0.3181149959564209 0.1428835391998291 0 0
2165 0.00026726722717285156 0.00019979476928710938 0.0033347606658935547 0 0 0.302337646484375 0 0 0
2166 9.799003601074219e-05 9.202957153320312e-05 0.0067157745361328125 0 0 0.3163645267486572 0.1678447723388672 0 0
2167 0.000301361083984375 0.00022530555725097656 0.0020542144775390625 0 0 0.29454755783081055 0 0 0
2168 0.0002529621124267578 0.0002510547637939453 0.010114908218383789 0 0 0.33070993423461914 0.17662549018859863 0 0
2169 0.0002796649932861328 0.0002048015594482422 0.0028808116912841797 0 0 0.34997129440307617 0 0 0
2170 9.942054748535156e-05 9.179115295410156e-05 0.000904083251953125 0 0 0.33980464935302734 0.15494203567504883 0 0
2171 0.00017189979553222656 0.0001742839813232422 0.0025315284729003906 0 0 0.3392949104309082 0 0 0
2172 0.0002493858337402344 0.0002200603485107422 0.0042552947998046875 0 0 0.29430222511291504 0.14705610275268555 0 0
2173 0.00012993812561035156 0.00011515617370605469 0.0036470890045166016 0 0 0.3563227653503418 0 0 0
2174 0.00026035308837890625 0.00020313262939453125 0.004849433898925781 0 0 0.3219637870788574 0.17183399200439453 0 0
2175 0.0001163482666015625 8.7738037109375e-05 0.0009634494781494141 0 0 0.28293442726135254 0 0 0
2176 9.059906005859375e-05 8.225440979003906e-05 0.001005411148071289 0 0 0.3002603054046631 0.15358352661132812 0 0
2177 0.00027298927307128906 0.00020599365234375 0.00255584716796875 0 0 0.33350110054016113 0 0 0
2178 9.5367431640625e-05 9.870529174804688e-05 0.007529497146606445 0 0 0.3519458770751953 0.17835330963134766 0 0
2179 0.0002815723419189453 0.00018906593322753906 0.005765438079833984 0 0 0.3485758304595947 0 0 0
2180 0.00011301040649414062 0.00015425682067871094 0.0029299259185791016 0 0 0.2971162796020508 0.1658492088317871 0 0
2181 0.0003426074981689453 0.00019693374633789062 0.0051152706146240234 0 0 0.322249174118042 0 0 0
2182 0.00026226043701171875 0.00022649765014648438 0.0038335323333740234 0 0 0.3656034469604492 0.1497485637664795 0 0
2183 0.00015211105346679688 0.0001289844512939453 0.002999544143676758 0 0 0.2857050895690918 0 0 0
2184 9.775161743164062e-05 8.535385131835938e-05 0.0011548995971679688 0 0 0.3065681457519531 0.14374160766601562 0 0
2185 0.0001239776611328125 9.608268737792969e-05 0.0017337799072265625 0 0 0.2930455207824707 0 0 0
2186 0.0002677440643310547 0.0002124309539794922 0.0046977996826171875 0 0 0.3044579029083252 0.16746854782104492 0 0
2187 0.00011324882507324219 6.890296936035156e-05 0.001486063003540039 0 0 0.31687259674072266 0 0 0
2188 0.00029969215393066406 0.00022935867309570312 0.00641632080078125 0 0 0.33658814430236816 0.15262937545776367 0 0
2189 0.00027179718017578125 0.00020170211791992188 0.0013773441314697266 0 0 0.3296668529510498 0 0 0
2190 0.00011849403381347656 0.00011658668518066406 0.0020797252655029297 0 0 0.3166978359222412 0.17602300643920898 0 0
2191 0.0002875328063964844 0.00019311904907226562 0.0022912025451660156 0 0 0.29442882537841797 0 0 0
2192 0.00012421607971191406 0.00015473365783691406 0.008638858795166016 0 0 0.31664419174194336 0.1758890151977539 0 0
2193 0.00012826919555664062 0.00011229515075683594 0.003206014633178711 0 0 0.2916285991668701 0 0 0
2194 0.0002503395080566406 0.00019693374633789062 0.0056591033935546875 0 0 0.27405238151550293 0.1317598819732666 0 0
2195 0.00041747093200683594 0.00019693374633789062 0.0030095577239990234 0 0 0.2933614253997803 0 0 0
2196 0.00011515617370605469 0.00012159347534179688 0.006285190582275391 0 0 0.3014533519744873 0.1535789966583252 0 0
2197 0.00012993812561035156 9.083747863769531e-05 0.0017108917236328125 0 0 0.29698705673217773 0 0 0
2198 0.00022721290588378906 0.0001971721649169922 0.0029702186584472656 0 0 0.2810053825378418 0.14761686325073242 0 0
2199 0.00029277801513671875 0.0001914501190185547 0.002435445785522461 0 0 0.33150529861450195 0 0 0
2200 7.62939453125e-05 7.414817810058594e-05 0.0012540817260742188 0 0 0.2815265655517578 0.14407110214233398 0 0
2201 0.0002110004425048828 0.0001289844512939453 0.0023772716522216797 0 0 0.3031785488128662 0 0 0
2202 0.0002620220184326172 0.00020647048950195312 0.0045986175537109375 0 0 0.3141939640045166 0.16854357719421387 0 0
2203 0.0003325939178466797 0.00019669532775878906 0.007048368453979492 0 0 0.3400547504425049 0 0 0
2204 8.96453857421875e-05 0.00010156631469726562 0.010712862014770508 0 0 0.28772568702697754 0.1568300724029541 0 0
2205 0.0001163482666015625 7.510185241699219e-05 0.0008912086486816406 0 0 0.28356504440307617 0 0 0
2206 0.00028514862060546875 0.0002205371856689453 0.0047338008880615234 0 0 0.31232476234436035 0.15146756172180176 0 0
2207 0.00034356117248535156 0.00021028518676757812 0.0035393238067626953 0 0 0.297882080078125 0 0 0
2208 8.058547973632812e-05 8.630752563476562e-05 0.001008749008178711 0 0 0.292069673538208 0.14687180519104004 0 0
2209 0.00013947486877441406 0.00019311904907226562 0.0015437602996826172 0 0 0.28148794174194336 0 0 0
2210 9.72747802734375e-05 8.893013000488281e-05 0.003280162811279297 0 0 0.31853628158569336 0.1703634262084961 0 0
2211 0.0001366138458251953 0.00010848045349121094 0.010042667388916016 0 0 0.32500338554382324 0 0 0
2212 0.00010657310485839844 0.00012350082397460938 0.003412961959838867 0 0 0.3177971839904785 0.18203401565551758 0 0
2213 0.00030803680419921875 0.00022125244140625 0.00362396240234375 0 0 0.28731536865234375 0 0 0
2214 0.00012087821960449219 9.918212890625e-05 0.0060040950775146484 0 0 0.2835676670074463 0.15618586540222168 0 0
2215 0.0003151893615722656 0.00020456314086914062 0.002902507781982422 0 0 0.2840886116027832 0 0 0
2216 0.0002856254577636719 0.000213623046875 0.003438711166381836 0 0 0.3094966411590576 0.1774272918701172 0 0
2217 0.00033211708068847656 0.0002162456512451172 0.0028104782104492188 0 0 0.3089566230773926 0 0 0
2218 0.00032639503479003906 0.0002129077911376953 0.004171609878540039 0 0 0.30068325996398926 0.15201759338378906 0 0
2219 0.0005729198455810547 0.00022411346435546875 0.0015530586242675781 0 0 0.3113119602203369 0 0 0
2220 8.702278137207031e-05 9.5367431640625e-05 0.003961086273193359 0 0 0.2798271179199219 0.14674043655395508 0 0
2221 0.0003688335418701172 0.0002415180206298828 0.002694845199584961 0 0 0.2898566722869873 0 0 0
2222 0.0001697540283203125 0.00019788742065429688 0.0044858455657958984 0 0 0.29967761039733887 0.1514148712158203 0 0
2223 0.00012373924255371094 8.96453857421875e-05 0.002469301223754883 0 0 0.29114413261413574 0 0 0
2224 0.00013709068298339844 0.0001609325408935547 0.0021309852600097656 0 0 0.29521727561950684 0.16195178031921387 0 0
2225 0.00021338462829589844 0.0001266002655029297 0.001817464828491211 0 0 0.28798604011535645 0 0 0
2226 0.00011229515075683594 0.00010585784912109375 0.0040853023529052734 0 0 0.2854640483856201 0.15134716033935547 0 0
2227 0.0001685619354248047 0.00017786026000976562 0.0020034313201904297 0 0 0.2928297519683838 0 0 0
2228 0.00028824806213378906 0.00020170211791992188 0.00526118278503418 0 0 0.3033907413482666 0.16366219520568848 0 0
2229 0.0002963542938232422 0.00021409988403320312 0.002534627914428711 0 0 0.3039546012878418 0 0 0
2230 0.00023484230041503906 0.0001850128173828125 0.0049896240234375 0 0 0.29823923110961914 0.1584618091583252 0 0
2231 0.0001633167266845703 0.00014781951904296875 0.0021839141845703125 0 0 0.27773046493530273 0 0 0
2232 0.0001277923583984375 9.465217590332031e-05 0.001172780990600586 0 0 0.28145837783813477 0.13974928855895996 0 0
2233 0.0001251697540283203 8.916854858398438e-05 0.002254962921142578 0 0 0.32617783546447754 0 0 0
2234 0.0002315044403076172 0.00018525123596191406 0.004578351974487305 0 0 0.2952394485473633 0.14223384857177734 0 0
2235 0.0002472400665283203 0.00020003318786621094 0.0016019344329833984 0 0 0.28937697410583496 0 0 0
2236 9.465217590332031e-05 0.00011277198791503906 0.008742094039916992 0 0 0.274946928024292 0.1471879482269287 0 0
2237 0.0002493858337402344 0.00018286705017089844 0.002658843994140625 0 0 0.295421838760376 0 0 0
2238 0.00023102760314941406 0.00018858909606933594 0.0030875205993652344 0 0 0.29993462562561035 0.1315765380859375 0 0
2239 0.0002970695495605469 0.00018358230590820312 0.0035796165466308594 0 0 0.3084681034088135 0 0 0
2240 7.581710815429688e-05 7.605552673339844e-05 0.0012454986572265625 0 0 0.28484559059143066 0.1527869701385498 0 0
2241 0.00014066696166992188 0.0001506805419921875 0.002084970474243164 0 0 0.3268096446990967 0 0 0
2242 0.0001480579376220703 0.0001392364501953125 0.0039598941802978516 0 0 0.30180954933166504 0.15308570861816406 0 0
